UF,CIDADE,IBGE,POPULAÇÃO,VALOR_TOTAL_PREVISTO,STATUS,PONTOS_ATENDIDOS,VALOR_INVESTIDO
PI,Inhuma,2204709,15044,499010,Concluida,16,0
PI,Joca Marques,2205458,5308,340013.39,Sem Previsao,9,34001.34
PI,Júlio Borges,2205524,5510,381318.38,Sem Previsao,14,0
PI,Luís Correia,2205706,29558,824906.65,Sem Previsao,21,0
PI,Nossa Senhora de Nazaré,2206753,4747,240826.43,Sem Previsao,8,24082.64
PI,Nossa Senhora dos Remédios,2206803,8491,444251.27,Sem Previsao,15,44425.13
PI,Oeiras,2207009,36329,945054.68,Sem Previsao,18,78965
PI,Pedro II,2207900,38055,1171791.75,Sem Previsao,35,226142.27
PI,Regeneração,2208809,17697,598959,Concluida,20,0
PI,Ribeira do Piauí,2208874,4381,242612.5,Sem Previsao,8,0
PI,São João da Fronteira,2209872,5898,410240.33,Sem Previsao,12,41024.03
PI,São José do Divino,2210052,5246,324598.35,Concluida,9,0
PI,Sebastião Barros,2210623,3455,235679.98,Sem Previsao,9,0
PI,Socorro do Piauí,2210904,4512,288380.56,Sem Previsao,10,0
PI,Várzea Branca,2211357,4889,261639.58,Sem Previsao,7,26145
PR,Assis Chateaubriand,4102000,34027,679270,Concluida,24,388840
PR,Bandeirantes,4102406,32639,279409.7,Em andamento,7,0
PR,Ibaiti,4109708,30678,876774.62,Sem Previsao,37,0
PR,Ibiporã,4109807,52330,466649.65,Concluida,11,393175.34
PR,Imbituva,4110102,31055,730635.37,Sem Previsao,16,73063.54
PR,Jacarezinho,4111803,40243,1097593.4,Sem Previsao,25,0
PR,Jaguariaíva,4112009,34468,1289645.04,Sem Previsao,40,0
PR,Palmas,1721000,272726,875603,Concluida,28,800518
PR,Pinhão,2805208,6440,916825.3,Sem Previsao,32,0
PR,Piraí do Sul,4119400,24953,785249.01,Sem Previsao,23,0
PR,Quatro Barras,4120804,22048,509908.95,Concluida,14,191140
PR,Reserva,4121703,26522,671768.65,Sem Previsao,24,0
PR,Santa Cecília do Pavão,4123204,3597,270085.77,Concluida,6,204232.98
PR,Santo Antônio da Platina,4124103,45299,1067635.12,Sem Previsao,21,0
PR,São Mateus do Sul,4125605,44594,1306948.03,Sem Previsao,29,0
PR,São Miguel do Iguaçu,4125704,27197,781824,Concluida,28,452400
PR,Toledo,3169109,6153,680553.7,Concluida,23,650546.4
RJ,Bom Jardim,2102002,40660,770980.33,Sem Previsao,21,0
RJ,Casimiro de Abreu,3301306,40305,842187.31,Sem Previsao,36,0
RJ,Engenheiro Paulo de Frontin,3301801,13626,352575,Concluida,11,0
RJ,Itaocara,3302106,22779,709169.31,Sem Previsao,23,0
RJ,Maricá,3302700,146549,477934,Em andamento,19,0
RJ,Miguel Pereira,3302908,24842,1387111.83,Sem Previsao,14,0
RJ,Paraíba do Sul,3303708,42356,1267858.79,Sem Previsao,35,0
RJ,Paraty,3303807,40478,1050686.93,Sem Previsao,39,0
RJ,Piraí,3304003,27838,907753.83,Sem Previsao,27,0
RJ,Santo Antônio de Pádua,3304706,41178,1338880.4,Sem Previsao,39,0
RJ,São Francisco de Itabapoana,3304755,41291,610044.96,Sem Previsao,17,0
RJ,São João da Barra,3305000,34583,547505.97,Sem Previsao,18,0
RJ,São José do Vale do Rio Preto,3305158,20916,600951.92,Em andamento,16,0
RJ,Silva Jardim,3305604,21307,859484.4,Sem Previsao,21,0
RJ,Vassouras,3306206,35432,1200224.81,Sem Previsao,22,0
RN,Baía Formosa,2401404,9182,528313.59,Sem Previsao,26,0
RN,Frutuoso Gomes,2404002,4228,303633.93,Sem Previsao,15,28697.46
RN,Ipanguaçu,2404705,15147,467851.15,Sem Previsao,15,46205.77
RN,Jaçanã,2405009,8827,624127.83,Sem Previsao,26,0
RN,Lajes,2406700,11151,577091.88,Sem Previsao,20,0
RN,Portalegre,2410207,7811,434838.27,Sem Previsao,12,43877.59
RN,Riachuelo,2410900,7863,478919.64,Sem Previsao,11,46447.44
RN,Santana do Matos,2411403,13605,577091.88,Sem Previsao,20,54084.85
RN,São João do Sabugi,2412104,6218,411047.68,Concluida,13,139501.1
RO,Buritis,1100452,37838,1035208.77,Sem Previsao,25,0
RO,Guajará-Mirim,1100106,46632,1132841.73,Sem Previsao,14,0
RR,Rorainópolis,1400472,27288,1038572.22,Sem Previsao,21,0
RS,Caçapava do Sul,4302808,34654,1305619.56,Sem Previsao,47,0
RS,Candelária,4304200,31476,565686,Em andamento,19,0
RS,Canela,4304408,42411,880570.72,Sem Previsao,27,0
RS,Cerro Grande do Sul,4305173,11263,441659.08,Sem Previsao,12,0
RS,Fontoura Xavier,4308300,10888,488185.4,Sem Previsao,14,0
RS,Igrejinha,4310108,34341,1204058.72,Sem Previsao,21,0
RS,Itaqui,4310603,39088,1471652.94,Sem Previsao,39,0
RS,Jari,4311130,3655,234752.5,Concluida,5,189134.16
RS,Não-Me-Toque,4312658,16997,566980.26,Concluida,18,530358.64
RS,Nova Bassano,4312906,9478,382013.2,Em andamento,11,0
RS,Rio Pardo,4315701,38934,1205607.46,Sem Previsao,31,0
RS,Rolante,4316006,20712,855245.34,Sem Previsao,20,0
RS,Rosário do Sul,4316402,40773,1116548.04,Sem Previsao,28,0
RS,Santo Ângelo,4317509,78976,1024440.4,Concluida,35,958295.6
RS,São José do Norte,4318507,26977,715597.52,Sem Previsao,26,0
RS,São Miguel das Missões,4319158,7728,464730.35,Concluida,15,422459.6
SC,Araquari,4201307,32454,502951.3,Sem Previsao,12,0
SC,Curitibanos,4204806,39231,1425445.82,Sem Previsao,31,0
SC,Guaramirim,4206504,40878,791902.62,Sem Previsao,17,0
SC,Joaçaba,4209003,29008,597782.8,Concluida,18,568129.52
SC,São Francisco do Sul,4216206,48606,765171.04,Sem Previsao,16,0
SC,São Joaquim,4216503,26247,777440.24,Sem Previsao,14,0
SE,Nossa Senhora da Glória,2804508,35726,907385.17,Sem Previsao,29,83271.5
SE,Pacatuba,2309706,80378,547876.31,Sem Previsao,21,0
SE,Riachão do Dantas,2805802,19976,473310.93,Sem Previsao,21,0
SE,Tobias Barreto,2807402,51375,829388.43,Sem Previsao,36,0
SP,Apiaí,3502705,25211,957039.36,Concluida,35,958073.92
SP,Araçoiaba da Serra,3502903,31321,1625187.54,Sem Previsao,22,0
SP,Barra do Chapéu,3505351,5585,335161.32,Concluida,11,260844.47
SP,Boituva,3507001,55725,1391367.12,Sem Previsao,44,0
SP,Cachoeira Paulista,3508603,32294,935119.68,Sem Previsao,27,0
SP,Casa Branca,3510807,29877,621901.86,Em andamento,21,0
SP,Conchal,3512209,27132,1135692.68,Sem Previsao,39,0
SP,Descalvado,3513702,32980,451240.3,Em andamento,16,0
SP,Espírito Santo do Pinhal,3515186,43897,1661169.74,Sem Previsao,47,0
SP,Guararapes,3518206,32346,831691.6,Concluida,26,772690.54
SP,Guareí,3518503,16867,505817.04,Sem Previsao,18,50581.71
SP,Ibaté,3519303,33535,1584846.88,Sem Previsao,34,162167
SP,Ituverava,3524105,40994,1448262.92,Sem Previsao,28,0
SP,Jales,3524808,48922,1705825.26,Sem Previsao,42,0
SP,Jarinu,3525201,27473,1277621.82,Sem Previsao,28,0
SP,Lourdes,3527256,2249,438445.29,Concluida,15,354671.92
SP,Louveira,3527306,43862,1204519.24,Sem Previsao,17,0
SP,Mairinque,3528403,46015,1390757.84,Sem Previsao,23,0
SP,Miracatu,3529906,20533,652792.68,Sem Previsao,17,0
SP,Mirante do Paranapanema,3530201,17979,610647.24,Sem Previsao,24,0
SP,Orlândia,3534302,42678,1595135.44,Sem Previsao,58,0
SP,Pederneiras,3536703,44910,1516904.64,Sem Previsao,51,0
SP,Penápolis,3537305,62071,702701.56,Concluida,21,0
SP,Presidente Epitácio,3541307,43535,584153.42,Concluida,16,245305
SP,Presidente Venceslau,3541505,39407,1347227.08,Sem Previsao,42,0
SP,Promissão,3541604,38764,864957.78,Sem Previsao,30,0
SP,Santa Gertrudes,3546702,24737,730256,Concluida,25,674964.22
SP,São Joaquim da Barra,3549409,50110,1536581.6,Sem Previsao,22,0
SP,São Manuel,3550100,40367,1119305.92,Sem Previsao,26,0
SP,São Pedro,2412708,6216,1015248.54,Sem Previsao,10,0
SP,Serrana,3551504,42784,1199583.92,Sem Previsao,47,0
SP,Socorro,3552106,39565,740416.36,Concluida,24,711125.4
SP,Tietê,3554508,40194,1980602.66,Sem Previsao,44,0
SP,Valparaíso,3556305,24993,978516.72,Sem Previsao,23,0
SP,Vargem Grande do Sul,3556404,41807,1525640.54,Sem Previsao,47,0
TO,Paraíso do Tocantins,1716109,49076,1872693.9,Sem Previsao,49,0
TO,Ponte Alta do Bom Jesus,1717800,4649,251266.44,Sem Previsao,9,23969.9
TO,Porto Nacional,1718204,52182,1101168.76,Sem Previsao,61,0
TO,São Miguel do Tocantins,1720200,11597,592549.7,Sem Previsao,20,0
